"sampleid","y","x"
"NC 22-2011","41.56001",-98.144508
"NC 23-2011","41.285",-98.568336
"NC 24-2011","40.91111",-97.096947
"NC 25-2011","41.61861",-99.866508
"ND 01-2011","43.10092",-75.09893
"ND 02-2011","42.50526",-74.599503
"ND 03-2011","42.88337",-75.449249
"ND 04-2011","44.72731",-75.297112
"ND 05-2011","43.89529",-75.620529
"ND 06-2011","44.12819",-75.719383
"ND 07-2011","43.1633",-76.101898
"ND 08-2011","44.0031",-75.811447
"ND 09-2011","42.4974",-76.607277
"ND 10-2011","43.23401",-76.662888
"ND 11-2011","43.18965",-76.920769
"ND 12-2011","42.7812",-77.236603
"ND 13-2011","43.2327",-76.805099
"ND 14-2011","42.99968",-77.978638
"ND 15-2011","43.00514",-78.04464
"ND 16-2011","42.88464",-77.49189
"ND 17-2011","43.0145",-78.415077
"ND 18-2011","42.4142",-77.197304
"ND 19-2011","42.39809",-79.405853
"ND 20-2011","42.36331",-78.930527
"ND 21-2011","42.94586",-78.450623
"ND 22-2011","43.00773",-78.135948
"ND 23-2011","43.95686",-73.451584
"ND 24-2011","43.0749",-75.275574
"ND 25-2011","42.56762",-75.497704
"NE 01-2011","32.1906",-106.4289
"NE 02-2011","31.95117",-106.081
"NE 03-2011","31.9679",-106.6606
"NE 04-2011","32.1263",-106.7233
"NE 05-2011","32.8898",-107.2962
"NE 06-2011","32.9447",-107.3035
"NE 07-2011","35.63354",-105.96686
"NE 08-2011","34.76635",-6.7176528
"NE 09-2011","36.51691",-105.58358
"NE 10-2011","34.74803",-106.71803
"NE 11-2011","34.88033",-106.69771
"NE 12-2011","35.07228",-106.6796
"NE 13-2011","36.12206",-105.78769
"NE 14-2011","34.8666",-6.6835651
"NE 15-2011","32.16",-106.48
"NE 16-2011","32.00043",-106.64952
"NE 17-2011","36.8835",-106.61689
"NE 18-2011","32.29569",-106.82088
"NE 19-2011","36.13402",-105.65685
"NE 21-2011","34.94002",-106.69038
"NE 22-2011","36.88334",-106.60001
"NE 23-2011","36.03832",-105.7836
"NE 24-2011","31.40022",-105.60007
"NE 25-2011","36.19843",-105.68523
"NH 01-2011","43.272",-71.488998
"NH 03-2011","43.119",-71.550003
"NH 06-2011","43.423",-71.245003
"NJ 01-2011","39.95649",-74.613075
"NJ 02-2011","39.25975",-74.254669
"NJ 03-2011","39.62841",-75.252083
"NJ 04-2011","39.36538",-74.853317
"NJ 05-2011","40.06703",-79.579933
"NJ 06-2011","40.87648",-74.340317
"NJ 07-2011","40.979",-74.871483
"NJ 08-2011","40.47051",-74.586731
"NJ 09-2011","40.068",-74.490044
"NJ 10-2011","41.14057",-74.702301
"NJ 11-2011","40.54202",-74.630692
"NJ 13-2011","40.31352",-74.078308
"NJ 14-2011","40.4834",-74.801903
"NJ 16-2011","41.19832",-74.691818
"NJ 17-2011","40.4333",-74.893303
"NJ 20-2011","40.75315",-74.138641
"NJ 21-2011","40.14381",-74.498016
"NJ 22-2011","39.68467",-75.197983
"NJ 23-2011","40.31352",-74.391258
"NJ 24-2011","40.5937",-74.946999
"NJ 25-2011","40.46127",-74.577042
"NM 01-2011","35.73716",-78.976402
"NM 02-2011","35.13229",-74.506561
"NM 03-2011","35.37159",-79.604507
"NM 04-2011","35.25259",-79.942238
"NM 05-2011","36.09676",-79.181313
"NM 06-2011","35.81193",-82.090828
"NY 01-2011","46.3598",-102.13628
"NY 02-2011","48.09498",-100.55151
"NY 03-2011","48.62471",-100.3864
"NY 04-2011","48.51418",-100.84016
"NY 05-2011","48.20908",-100.17198
"NY 06-2011","48.7758",-100.3223
"NY 07-2011","47.99945",-100.84132
"NY 08-2011","46.35748",-100.21587
"NY 09-2011","48.3705",-100.1813
"NY 10-2011","46.7934",-100.28619
"NY 11-2011","48.07753",-100.92752
"NY 12-2011","46.71333",-101.54951
"NY 13-2011","48.54391",-98.32415
"NY 14-2011","47.9552",-97.515404
"NY 15-2011","47.84056",-97.347397
"NY 16-2011","47.7369",-98.8675
"NY 17-2011","47.68636",-98.182503
"NY 18-2011","47.93416",-97.028336
"NY 19-2011","47.37472",-99.313614
"NY 20-2011","47.26611",-99.323051
"NY 21-2011","46.92388",-97.639442
"NY 22-2011","46.84833",-98.905273
"NY 23-2011","46.80861",-98.791656
"NY 24-2011","46.87555",-97.889442
"NY 25-2011","46.93944",-100.4625
"OH 01-2011","39.95521",-82.756569
"OH 02-2011","40.01864",-82.832352
"OH 03-2011","39.95521",-82.756569
"OH 04-2011","40.81693",-84.742111
"OH 05-2011","40.01864",-82.832352
"PA 01-2011","40.97866",-76.427063
"PA 02-2011","40.85184",-76.765968
"PA 03-2011","40.60751",-77.042458
"PA 04-2011","40.63052",-75.51709
"PA 05-2011","41.6144",-80.168251
"PA 06-2011","40.65658",-76.481628
"PA 07-2011","40.99938",-78.807899
"PA 08-2011","41.34399",-80.20784
"PA 09-2011","40.321 W",-79.551987
"PA 10-2011","40.66207",-80.193268
"PA 11-2011","39.80522",-79.56089
"PA 12-2011","41.64972",-75.166382
"PA 13-2011","40.04848",-77.189629
"PA 14-2011","41.98698",-75.806023
"PA 15-2011","41.53096",-75.282539
"PA 16-2011","39.81705",-76.623039
"PA 17-2011","40.3431",-75.236679
"PA 18-2011","40.25741",-77.127563
"PA 19-2011","40.549",-75.840759
"PA 20-2011","40.69804",-78.145699
"PA 21-2011","40.46218",-77.822319
"PA 22-2011","39.79848",-78.739471
"PA 23-2011","40.34626",-78.802208
"PA 24-2011","40.59877",-78.520187
"PA 25-2011","40.21957",-77.735771
"SC 22-2011","34.14252",-80.217812
"SD 01-2011","45.5254",-100.03304
"SD 02-2011","43.73505",-100.01605
"SD 03-2011","42.94266",-96.780922
"SD 04-2011","45.4099",-97.169991
"SD 05-2011","44.69499",-100.54326
"SD 06-2011","44.62224",-98.468323
"SD 07-2011","44.40282",-98.838676
"SD 08-2011","44.90048",-98.731789
"SD 09-2011","44.89316",-99.02356
"SD 10-2011","44.60162",-99.488876
"SD 11-2011","44.3743",-98.310913
"SD 12-2011","44.88047",-97.659386
"SD 13-2011","44.93888",-97.835297
"SD 14-2011","43.51022",-97.890091
"SD 15-2011","43.53042",-98.228195
"SD 16-2011","43.77667",-101.19525
"SD 17-2011","45.37377",-97.883621
"SD 18-2011","44.99488",-97.131523
"SD 19-2011","43.83067",-97.064545
"SD 20-2011","43.50348",-97.004837
"SD 21-2011","44.23492",-97.36615
"SD 22-2011","44.22149",-97.36615
"SD 23-2011","45.53284",-100.14621
"SD 24-2011","45.31723",-98.283813
"SD 25-2011","44.61555",-3.348542
"TN 01-2011","36.41223",-82.645378
"TN 02-2011","35.3725",-86.308022
"TN 04-2011","35.75923",-84.050781
"TN 05-2011","35.01615",-84.421249
"TN 06-2011","35.07123",-84.421249
"TN 07-2011","35.28567",-85.852341
"TN 09-2011","35.34575",-89.623466
"TN 11-2011","35.40211",-89.608704
"TN 16-2011","36.14506",-85.605881
"TN 19-2011","36.09135",-85.231018
"TN 22-2011","36.62451",-86.03801
"TN 25-2011","36.17413",-85.660912
"TX 01-2011","30.58177",-96.240288
"TX 02-2011","32.96678",-96.383438
"TX 03-2011","32.96678",-96.383438
"TX 04-2011","33.19422",-96.371101
"TX 05-2011","33.25141",-96.306541
"TX 06-2011","31.1441",-97.317223
"TX 07-2011","31.12797",-97.397255
"TX 08-2011","30.29323",-96.03125
"TX 09-2011","29.9956",-94.655472
"TX 10-2011","30.12449",-94.766579
"TX 11-2011","29.98452",-94.596512
"TX 12-2011","30.45533",-94.017929
"TX 13-2011","28.74173",-99.14286
"TX 14-2011","28.84151",-99.064468
"TX 15-2011","29.05635",-98.991539
"TX 16-2011","29.10097",-98.878601
"TX 17-2011","31.45971",-96.069489
"TX 18-2011","29.3313",-99.280487
"TX 19-2011","31.6069",-94.656174
"TX 20-2011","31.46527",-106.14656
"TX 21-2011","31.4758",-106.15519
"UT 01-2011","41.71071",-111.98669
"UT 02-2011","40.11367",-111.67912
"UT 03-2011","40.41338",-109.55607
"UT 04-2011","41.84065",-111.96269
"UT 05-2011","41.84138",-111.82135
"UT 06-2011","40.13383",-111.66981
"UT 07-2011","41.77114",-111.81154
"UT 08-2011","39.35263",-111.57537
"UT 09-2011","40.62285",-12.28492
"UT 10-2011","40.59355",-112.36851
"UT 11-2011","37.13353",-113.65954
"UT 12-2011","38.53017",-109.4877
"UT 13-2011","39.5059",-110.80217
"UT 14-2011","39.23514",-111.04791
"UT 15-2011","39.38546",-112.58927
"UT 16-2011","37.1073",-113.5006
"UT 17-2011","37.0949",-113.5311
"UT 18-2011","39.34244",-112.61353
"UT 19-2011","40.14708",-111.55752
"UT 20-2011","40.40222",-111.90758
"UT 21-2011","39.27591",-112.64609
"UT 22-2011","39.3065",-111.60705
"UT 23-2011","38. 5725",-109.54703
"UT 24-2011","38.58112",-109.56943
"UT 25-2011","37.08263",-113.49998
"VA 01-2011","36.90877",-76.198936
"VA 02-2011","38.79127",-77.134697
"VA 03-2011","38.24993",-77.141724
"VA 04-2011","37.72468",-77.669258
"VA 05-2011","37.56007",-77.238922
"VA 06-2011","37.22593",-77.438103
"VA 07-2011","37.08887",-79.988373
"VA 08-2011","36.97958",-81.139038
"VA 09-2011","37.22406",-80.462173
"VA 10-2011","37.06925",-80.763641
"VA 11-2011","37.26462",-76.454292
"VA 12-2011","35.07071",-76.436577
"VA 13-2011","37.91755",-75.523819
"VA 14-2011","37.19261",-77.278976
"VA 15-2011","39.8393",-77.724022
"VA 16-2011","38.45006",-77.93232
"WI 01-2011","39.57733",-77.852371
"WI 02-2011","39.30229",-77.949829
"WI 03-2011","39.0424",-79.715622
"WI 04-2011","39.42838",-78.602669
"WI 05-2011","39.32926",-78.925568
"WI 06-2011","39.13816",-78.542877
"WI 07-2011","39.32856",-80.175697
"WI 08-2011","39.90624",-80.730324
"WI 09-2011","39.35989",-80.380821
"WI 10-2011","39.19693",-79.855904
"WI 11-2011","38.92884",-80.782944
"WI 12-2011","39.71336",-80.768997
"WI 13-2011","37.31605",-81.220703
"WI 14-2011","38.29818",-80.662453
"WI 15-2011","37.66274",-80.471603
"WI 16-2011","38.35107",-80.793823
"WI 17-2011","38.15116",-80.833771
"WI 18-2011","37.68388",-81.123466
"WI 19-2011","38.93691",-82.099113
"WI 20-2011","39.17844",-81.574631
"WI 21-2011","38.17015",-81.945633
"WI 22-2011","38.13693",-82.510246
"WI 23-2011","38.47261",-81.126083
"WI 24-2011","39.54578",-78.074699
"WI 25-2011","38.62772",-80.699783
"WV 01-2011","43.12043",-88.260437
"WV 02-2011","42.93525",-88.326653
"WV 03-2011","42.662",-87.849792
"WV 04-2011","43.87993",-88.618881
"WV 05-2011","43.28064",-88.084869
"WV 06-2011","44.53171",-88.734131
"WV 07-2011","43.23879",-88.588989
"WV 08-2011","43.35799",-89.123001
"WV 09-2011","42.97119",-89.675949
"WV 10-2011","42.87778",-89.840462
"WV 11-2011","42.8991",-88.415253
"WV 12-2011","43.72384",-90.875397
"WV 13-2011","43.69071",-90.934807
"WV 14-2011","44.03798",-89.061035
"WV 15-2011","44.01343",-88.696419
"WV 16-2011","43.15235",-89.806129
"WV 17-2011","43.85384",-91.190521
"WV 18-2011","43.24251",-88.13044
"WV 19-2011","44.59489",-89.205048
"WV 20-2011","43.54581",-89.463043
"WV 21-2011","44.5027",-89.24617
"WV 22-2011","42.8755",-89.536377
"WV 23-2011","42.7262",-90.736267
"WV 24-2011","42.65517",-89.629211
"WV 25-2011","43.54551",-90.23468
"SD 15-2013","43.9955050539",-99.09165998
"CA 05-2011","39.63973",-121.8431
"CA 13-2011","37.71139",-120.82268
"CA 14-2011","37.13342",-120.1668
"CA 15-2011","37.13343",-120.20003
"CA 16-2011","37.15004",-120.26679
"CA 17-2011","38.05013",-120.86676
"CA 18-2011","37.06691",-120.36669
"CA 19-2011","37.55018",-120.83353
"CA 20-2011","37.66667",-120.80007
"CA 21-2011","37.64115",-120.75799
"CA 22-2011","37.81805",-120.92345
"CA 23-2011","37.06586",-120.32918
"CA 24-2011","37.13343",-120.20004
"CA 25-2011","37.13335",-120.16687
"CA 26-2011","37.66677",-120.80007
"CA 27-2011","37.6834",-120.76686
"CA 28-2011","38.05013",-120.86676
"CA 29-2011","37.58335",-120.91678
"CA 30-2011","37.13339",-120.2168
"CA 31-2011","37.60019",-120.75025
"CA 32-2011","37.06691",-120.36669
"CA 33-2011","40.50539",-122.27457
"CA 34-2011","39.68891",-122.14394
"CA 35-2011","39.84768",-121.29502
"CA 36-2011","40.56873",-122.13448
"CA 37-2011","38.91538",-121.9968
"CA 38-2011","39.78599",-121.92004
"CA 39-2011","39.76563",-122.08841
"CA 40-2011","39.62737",-122.01679
"CA 41-2011","39.67505",-122.07516
"CA 42-2011","40.613",-122.2299
"CA 43-2011","40.3035",-122.38844
"CA 44-2011","37.00767",-21.732023
"CA 45-2011","39.36919",-122.58981
"CA 46-2011","39.70716",-122.14162
"CA 47-2011","38.43748",-121.90591
"CA 48-2011","39.1724",-121.74883
"CA 49-2011","38.59151",-121.99332
"CA 50-2011","40.64698",-122.22488
"CO 10-2011","37.51521",-108.68785
"CO 15-2011","37.52807",-108.70141
"CO 21-2011","37.43496",-105.91198
"CO 23-2011","39.92",-104.78656
"CO 24-2011","37.42559",-105.94043
"CO 25-2011","37.42232",-105.98106
"DE 01-2011","38.68475",-75.64003
"DE 02-2011","38.62585",-75.675468
"DE 03-2011","38.87817",-75.496498
"DE 04-2011","38.96572",-75.415749
"DE 05-2011","38.97573",-75.588142
"DE 06-2011","38.80541",-75.532692
"DE 07-2011","38.50318",-75.50119
"DE 08-2011","38.66645",-75.57106
"DE 09-2011","39.25891",-75.559952
"DE 10-2011","38.92871",-75.529999
"DE 20-2011","39.11625",-75.537514
"DE 21-2011","39.11625",-75.537514
"DE 22-2011","39.11625",-75.537514
"DE 23-2011","39.11625",-75.537514
"DE 24-2011","39.11625",-75.537514
"DE 25-2011","39.11625",-75.537514
"FL 01-2011","28.45842",-82.349113
"FL 02-2011","28.53337",-82.30024
"FL 03-2011","28.36679",-82.250198
"FL 04-2011","27.98856",-82.250031
"FL 05-2011","27.95017",-82.233559
"FL 06-2011","28.05017",-81.600182
"FL 07-2011","29.81574",-84.837158
"FL 08-2011","28.4167",-82.250153
"FL 09-2011","30.61997",-85.115196
"FL 10-2011","30.15277",-85.246696
"FL 11-2011","30.15323",-81.615013
"FL 12-2011","28.41687",-82.250183
"FL 13-2011","28.40552",-82.319656
"FL 14-2011","30.34347",-84.948517
"FL 15-2011","30.35655",-84.964272
"FL 16-2011","30.75809",-87.193733
"FL 17-2011","30.115",-81.785667
"FL 18-2011","30.30335",-81.828918
"FL 19-2011","30.52247",-85.937103
"FL 20-2011","29.71057",-82.425323
"FL 21-2011","30.3177",-81.32254
"FL 22-2011","30.73108",-85.640038
"FL 23-2011","27.5501",-81.466713
"FL 24-2011","30.90111",-87.516869
"FL 25-2011","29.83681",-84.817032
"HI 03-2011","20.93322",-156.31667
"HI 05-2011","21.64806",-158.04836
"HI 06-2011","21.30802",-157.80202
"HI 07-2011","20.71224",-156.43597
"HI 08-2011","19.62221",-155.04176
"HI 09-2011","21.31676",-15684572
"HI 10-2011","20.64986",-156.09154
"HI 11-2011","19.6948",-155.0824
"HI 13-2011","19.47159",-154.88805
"HI 14-2011","19.13017",-155.75513
"HI 16-2011","21.91548",-159.55916
"HI 20-2011","21.89952",-159.4575
"HI 25-2011","19.70658",-155.07463
"IA 12-2011","43.4908",-16.524231
"IA 13-2011","46.43483",-116.99466
"IA 14-2011","48.17411",-116.65969
"IA 15-2011","43.54332",-16.531025
"IA 16-2011","46.39185",-116.83715
"IA 17-2011","47.80271",-116.9228
"IA 18-2011","46.43283",-14.929528
"IA 19-2011","46.14971",-115.89985
"IA 20-2011","43.56561",-116.80506
"IA 21-2011","43.96046",-16.833122
"IA 22-2011","47.79455",-116.83425
"IA 23-2011","48.81533",-16.712877
"IA 24-2011","48.7179",-16.357895
"IA 25-2011","46.20818",-16.080397
"ID 01-2011","42.72166",-90.063889
"ID 02-2011","42.44694",-90.490829
"ID 03-2011","42.46583",-89.430275
"ID 04-2011","42.11234",-89.293678
"ID 07-2011","42.82998",-90.139557
"ID 08-2011","38.86472",-88.939163
"ID 09-2011","38.39205",-90.11805
"ID 11-2011","38.58777",-87.649719
"ID 12-2011","37.78166",-88.840271
"ID 13-2011","38.45361",-88.931946
"ID 14-2011","38.38944",-89.559166
"ID 16-2011","40.01333",-89.471107
"ID 17-2011","39.75083",-89.443336
"ID 18-2011","40.79388",-89.779442
"ID 19-2011","40.91833",-90.51722
"ID 20-2011","40.62444",-89.274384
"ID 22-2011","40.45944",-90.1875
"ID 24-2011","40.95055",-88.158058
"ID 25-2011","40.19277",-88.434723
"LA 22-2011","32.53741",-92.007919
"LA 23-2011","30.74655",-92.055351
"LA 24-2011","30.20409",-93.1567
"LA 25-2011","30.04908",-93.113373
"MD 20-2011","38.38849",-75.674538
"MD 21-2011","38.35801",-75.660896
"MD 22-2011","38.57353",-75.792038
"MD 23-2011","38.48547",-75.824593
"MD 24-2011","39.11324",-76.823021
"MD 25-2011","39.43122",-76.278122
"MN 10-2011","44.33809",-93.912376
"MN 11-2011","44.07096",-92.821007
"MN 1-2011","46.16552",-95.12088
"MN 12-2011","44.47555",-93.259354
"MN 13-2011","46.32984",-94.157257
"MN 14-2011","45.20369",-93.086838
"MN 15-2011","43.91802",-92.575012
"MN 16-2011","45.09565",-96.048729
"MN 17-2011","44.19035",-92.497627
"MN 18-2011","45.72474",-93.986794
"MN 19-2011","45.75916",-94.516579
"MN 20-2011","46.19255",-94.646439
"MN 21-2011","46.60479",-94.389503
"MN 2-2011","45.94291",-95.871193
"MN 22-2011","45.71424",-93.253304
"MN 23-2011","45.32442",-95.389877
"MN 24-2011","46.26571",-95.608459
"MN 25-2011","45.97382",-95.886124
"MN 3-2011","45.09838",-95.165543
"MN 4-2011","46.13219",-95.33239
"MN 5-2011","44.82188",-92.801811
"MN 6-2011","45.09708",-92.91301
"MN 7-2011","45.23969",-93.369827
"MN 8-2011","45.73898",-93.022148
"MN 9-2011","44/58791",-92.913338
"MT 11-2011","47.17524",-114.9997
"MT 12-2011","47.16311",-114.06246
"MT 13-2011","47.52309",-9.341197
"MT 14-2011","47.83978",-110.77875
"MT 15-2011","48.25325",-112.28491
"MT 16-2011","45.91129",-106.3876
"MT 17-2011","45.34502",-106.15184
"MT 18-2011","45.95208",-111.71405
"MT 19-2011","48.40011",-114.28526
"MT 20-2011","48.38734",-114.357
"MT 21-2011","46.61901",-112.8061
"MT 22-2011","46.6226",-111.93161
"MT 23-2011","45.5025",-112.17382
"MT 24-2011","45.58628",-112.23259
"MT 25-2011","45.70663",-111.21071
"NH 02-2011","42.795",-71.458
"NH 04-2011","43.176",-71.098
"NH 05-2011","43.218",-71.614998
"NH 07-2011","43.12716",-0.049929999
"NH 08-2011","42.815",-71.459999
"NH 09-2011","42.87",-71.495003
"NH 10-2011","43.301",-71.469002
"NH 11-2011","43.582",-72.361
"NH 12-2011","43.535",-72.347
"NH 13-2011","42.831",-71.623001
"NH 14-2011","42.853",-71.699997
"NH 15-2011","42.875",-71.286003
"NH 16-2011","43.056",-71.314003
"NH 17-2011","43.031",-71.252998
"NH 18-2011","43.129",-70.927002
"NH 19-2011","43.603",-71.234001
"NH 20-2011","43.653",-71.149002
"NH 21-2011","43.119",-71.550003
"NH 22-2011","43.272",-71.488998
"NH 23-2011","43.636",-72.132004
"NH 24-2011","43.695",-71.657997
"NH 25-2011","43.745",-71.503998
"NJ 12-2011","39.76638",-74.731354
"NJ 15-2011","39.50597",-75.116524
"NJ 18-2011","40.58368",-75.044289
"NJ 19-2011","39.63065",-74.823959
"NM 07-2011","35.75388",-82.624443
"NM 08-2011","34.79151",-79.448822
"NM 09-2011","35.67777",-82.505272
"NM 10-2011","34.42232",-77.904716
"NM 11-2011","35.9131",-76.626999
"NM 12-2011","36.1187",-76.253677
"NM 13-2011","35.03444",-77.241379
"NM 14-2011","36.30196",-79.090172
"NM 15-2011","36.03472",-76.483612
"NM 16-2011","35.15888",-76.158882
"NM 17-2011","36.15777",-77.6325
"NM 18-2011","34.90525",-79.213837
"NM 19-2011","35.19792",-80.297539
"NM 20-2011","35.47983",-80.250923
"NM 21-2011","35.95944",-80.915001
"NM 22-2011","35.60222",-82.259048
"NM 23-2011","35.98166",-80.878052
"NM 24-2011","35.46666",-82.616943
"NM 25-2011","35.70388",-80.056381
"OH 06-2011","40.85327",-82.60807
"OH 07-2011","39.31737",-83.798317
"OH 08-2011","40.01088",-83.040627
"OH 09-2011","40.01088",-83.040649
"OH 10-2011","38.97197",-82.372871
"OH 11-2011","41.302",-81.580017
"OH 12-2011","41.07266",-83.748962
"OH 13-2011","40.62274",-81.622002
"OH 14-2011","39.31741",-83.798302
"OH 15-2011","40.31747",-81.026497
"OH 16-2011","39.31741",-83.798302
"OH 17-2011","41.05322",-82.028976
"OH 18-2011","40.3175",-81.026497
"OH 19-2011","39.4916",-83.280441
"OH 20-2011","40.77636",-81.912689
"OH 21-2011","40.66524",-82.097099
"OH 22-2011","40.62274",-81.622002
"OH 23-2011","40.66485",-82.096733
"OH 24-2011","39.2591",-82.04689
"OH 25-2011","30.91997",-83.093239
"SC 01-2011","35.09532",-81.128578
"SC 02-2011","34.92891",-82.63121
"SC 03-2011","34.12948",-79.663757
"SC 04-2011","34.55117",-82.059937
"SC 05-2011","33.59217",-79.405113
"SC 06-2011","33.69221",-79.268204
"SC 07-2011","34.64463",-79.170517
"SC 08-2011","33.41554",-81.484703
"SC 09-2011","33.67216",-79.531799
"SC 10-2011","33.14075",-81.074463
"SC 11-2011","34.02834",-78.796204
"SC 12-2011","34.98073",-80.960297
"SC 13-2011","33.55561",-80.093643
"SC 14-2011","34.5012",-81.941597
"SC 15-2011","32.6875",-80.733177
"SC 16-2011","33.88119",-79.443977
"SC 17-2011","34.21946",-79.120628
"SC 18-2011","34.10415",-79.238892
"SC 19-2011","33.51818",-81.745827
"SC 20-2011","33.06635",-81.039337
"SC 21-2011","33.91602",-79.180031
"SC 23-2011","34.75974",-80.356827
"SC 24-2011","34.82479",-82.773247
"SC 25-2011","33.84421",-79.217667
"TN 03-2011","35.75501",-84.050293
"TN 08-2011","36.13856",-86.64006
"TN 10-2011","35.038",-89.278679
"TN 12-2011","36.02371",-84.302177
"TN 13-2011","36.17207",-85.655121
"TN 14-2011","36.05414",-84.252831
"TN 15-2011","35.83598",-88.202721
"TN 17-2011","36.02582",-85.025208
"TN 18-2011","35.07416",-87.450851
"TN 20-2011","36.3054",-86.268822
"TN 21-2011","35.7708",-83.876549
"TN 23-2011","36.27457",-82.553612
"TN 24-2011","35.703",-86.540108
"TX 22-2011","31.58061",-94.137848
"TX 23-2011","31.82064",-94.208977
"TX 24-2011","31.9456",-94.244171
"TX 25-2011","29.68365",-94.934448
"VA 17-2011","37.25322",-78.273582
"VA 18-2011","37.50836",-78.352448
"VA 19-2011","37.10257",-78.414253
"VA 20-2011","37.17428",-79.75975
"VA 21-2011","37.13917",-79.840027
"VA 22-2011","37.21921",-80.381927
"VA 23-2011","37.2473",-80.385384
"VA 24-2011","36.78865",-80.668869
"VA 25-2011","38.13766",-78.511642
"AL 01-2012","31.64761",-85.646606
"AL 02-2012","34.3105",-85.71994
"AL 03-2012","33.67065",-86.878082
"AL 04-2012","33.91605",-87.736153
"AL 05-2012","33.51216",-85.566833
"AL 06-2012","31.15535",-85.346649
"AL 07-2012","32.345",-86.190002
"AL 08-2012","33.24379",-85.803322
"AL 09-2012","31.052",-85.25737
"AL 10-2012","32.62959",-86.005302
"AL 11-2012","34.73371",-86.588966
"AL 12-2012","34.80668",-87.826874
"AL 13-2012","31.88912",-85.956123
"AL 14-2012","32.71622",-86.154449
"AL 15-2012","32.19469",-86.586487
"AL 16-2012","32.67616",-85.369942
"AL 17-2012","31.32546",-85.389076
"AL 18-2012","31.25579",-86.23217
"AL 19-2012","32.76859",-85.483612
"AL 20-2012","30.84325",-88.132652
"AL 21-2012","30.55124",-87.690079
"AL 22-2012","33.43781",-86.703651
"AL 23-2012","33.98734",-85.873138
"AL 24-2012","33.24065",-87.112381
"AR 01-2012","36.42039",-92.375038
"AR 02-2012","34.78349",-91.400047
"AR 03-2012","34.21675",-91.800102
"AR 04-2012","34.38336",-91.387085
"AR 05-2012","35.33253",-94.409073
"AR 06-2012","34.05238",-93.757133
"AR 07-2012","35.94946",-90.349197
"AR 08-2012","5.03298",-91.476349
"AR 09-2012","35.3704",-91.137207
"AR 10-2012","34.92113",-92.002968
"AR 11-2012","35.73907",-90.204628
"AR 12-2012","35.75792",-90.300247
"AR 13-2012","35.14944",-90.326103
"AR 14-2012","35.98923",-94.334877
"AR 15-2012","34.93948",-91.561127
"AR 16-2012","35.60085",-91.241493
"AR 17-2012","36.02145",-94.207123
"AR 18-2012","33.62194",-91.183502
